@RELATION CriterioProvas  
@ATTRIBUTE P1 integer
@ATTRIBUTE P2 integer
@ATTRIBUTE PercFalta integer
@ATTRIBUTE resultado {Aprovado,Reprovado} 
@DATA 
9,7,3,Aprovado
8,2,23,Reprovado
4,6,32,Reprovado
0,9,35,Reprovado
6,6,42,Reprovado
10,0,45,Reprovado
7,8,48,Reprovado
10,2,15,Aprovado
0,1,33,Reprovado
7,5,28,Reprovado
8,9,33,Reprovado
0,2,32,Reprovado
5,6,6,Aprovado
8,9,42,Reprovado
2,4,41,Reprovado
1,1,40,Reprovado
0,2,18,Reprovado
3,7,8,Aprovado
6,5,4,Aprovado
7,4,26,Reprovado
10,0,14,Reprovado
2,3,11,Reprovado
9,0,15,Reprovado
0,0,22,Reprovado
10,1,45,Reprovado
8,8,35,Reprovado
6,10,25,Reprovado
4,3,48,Reprovado
7,3,35,Reprovado
1,0,31,Reprovado
5,4,38,Reprovado
9,1,15,Reprovado
3,3,10,Reprovado
5,9,28,Reprovado
0,9,1,Aprovado
6,9,27,Reprovado
5,1,31,Reprovado
8,9,9,Aprovado
2,2,20,Reprovado
8,0,39,Reprovado
6,8,40,Reprovado
4,0,18,Reprovado
5,6,12,Aprovado
3,5,43,Reprovado
2,3,42,Reprovado
4,10,46,Reprovado
3,1,29,Reprovado
2,0,39,Reprovado
1,6,15,Reprovado
4,0,10,Reprovado
1,10,49,Reprovado
3,10,5,Aprovado
2,1,33,Reprovado
3,6,37,Reprovado
10,3,21,Aprovado
7,10,22,Aprovado
5,2,28,Reprovado
6,5,47,Reprovado
2,8,20,Aprovado
9,1,43,Reprovado
1,1,0,Reprovado
6,7,15,Aprovado
4,8,14,Aprovado
6,5,27,Reprovado
0,6,28,Reprovado
1,4,34,Reprovado
10,7,36,Reprovado
2,1,12,Reprovado
9,2,45,Reprovado
10,1,39,Reprovado
0,1,23,Reprovado
5,2,50,Reprovado
6,0,10,Reprovado
5,2,12,Reprovado
0,5,37,Reprovado
8,9,48,Reprovado
2,4,13,Reprovado
8,8,32,Reprovado
0,0,18,Reprovado
8,10,17,Aprovado
1,9,37,Reprovado
9,3,44,Reprovado
3,6,5,Reprovado
5,6,18,Aprovado
10,4,41,Reprovado
3,5,46,Reprovado
0,4,32,Reprovado
7,5,9,Aprovado
7,10,13,Aprovado
5,4,1,Reprovado
6,3,14,Reprovado
9,3,39,Reprovado
5,2,25,Reprovado
3,3,43,Reprovado
4,0,17,Reprovado
2,7,46,Reprovado
7,2,21,Reprovado
7,6,45,Reprovado
7,8,23,Aprovado
7,0,16,Reprovado
2,1,4,Reprovado
1,10,24,Aprovado
4,3,21,Reprovado
4,10,4,Aprovado
0,1,50,Reprovado
3,6,9,Reprovado
10,4,25,Reprovado
6,9,48,Reprovado
8,3,15,Aprovado
8,8,48,Reprovado
3,4,23,Reprovado
8,9,13,Aprovado
3,2,43,Reprovado
1,6,0,Reprovado
6,9,41,Reprovado
6,10,17,Aprovado
